Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Gas Bladder,5,Purge,Action,0,1/Day,Exhale cone of bad air. Poison damage 3d6.
Reverse-Joints,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Reverse-Joints,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Reverse-Joints,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Suction Toes,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Suction Toes,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Suction Toes,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Soft-Soles,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Soft-Soles,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Soft-Soles,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Webbed Feet,1,Hydro-Dynamic,Passive,0,Passive,Swim Speed = Walk Speed. No combat penalty underwater.
Webbed Feet,3,Dash,Action,0,1 Stamina,Double Movement speed for this turn.
Webbed Feet,5,Whirlpool,Action,0,1/Day,Create difficult terrain in 10ft radius.
Calcium Plate,1,Natural-Armor,Passive,0,Passive,+1 AR (Armor Rating).
Calcium Plate,3,Deflect,Reaction,0,1 Stamina,Reduce incoming damage by 1d6.
Calcium Plate,5,Unbreakable,Reaction,0,1/Day,Reduce one damage source to 0.
Fat Layer,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Fat Layer,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Fat Layer,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Mucus Coat,1,Slippery,Passive,0,Passive,Advantage to escape Grapples.
Mucus Coat,3,Cloud,Reaction,0,2 Stamina,Create Obscurement cloud (Blindness). Disengage free.
Mucus Coat,5,Toxin,Action,0,1/Day,Coat area in contact poison.
Chromatophores,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Chromatophores,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Chromatophores,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Urchin Spines,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Urchin Spines,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Urchin Spines,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Soft Tissue,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Soft Tissue,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Soft Tissue,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Pressure Skin,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Pressure Skin,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Pressure Skin,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Placoid Scales,1,Natural-Armor,Passive,0,Passive,+1 AR (Armor Rating).
Placoid Scales,3,Deflect,Reaction,0,1 Stamina,Reduce incoming damage by 1d6.
Placoid Scales,5,Unbreakable,Reaction,0,1/Day,Reduce one damage source to 0.
Ink Sac,1,Slippery,Passive,0,Passive,Advantage to escape Grapples.
Ink Sac,3,Cloud,Reaction,0,2 Stamina,Create Obscurement cloud (Blindness). Disengage free.
Ink Sac,5,Toxin,Action,0,1/Day,Coat area in contact poison.
Starfish DNA,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Starfish DNA,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Starfish DNA,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Nacre Gland,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Nacre Gland,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Nacre Gland,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Puffer-Toxin,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Puffer-Toxin,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Puffer-Toxin,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Whale-Song,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Whale-Song,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Whale-Song,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Ray-Wings,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Ray-Wings,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Ray-Wings,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Bioluminescence,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Bioluminescence,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Bioluminescence,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Remora-Disk,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Remora-Disk,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Remora-Disk,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
