Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Roll-Cage,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Roll-Cage,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Sub-Surface,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Sub-Surface,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Sub-Surface,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Stalk-Legs,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Stalk-Legs,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Stalk-Legs,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Drill-Roots,1,Anchor,Passive,0,Passive,Advantage vs Knockback/Prone.
Drill-Roots,3,Entangle,Action,0,2 Stamina,Ranged Grapple (30ft). Target Restrained.
Drill-Roots,5,Earthquake,Action,0,1/Day,Knock all ground enemies Prone in 15ft radius.
Tendrils,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Tendrils,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Tendrils,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Iron-Wood,1,Tough,Passive,0,Passive,Gain +2 Max HP.
Iron-Wood,3,Harden,Reaction,0,1 Stamina,Gain Resistance to Physical Damage for 1 hit.
Iron-Wood,5,Regrow,Action,0,1/Day,Regain 50% HP over 1 minute.
Fungal-Flesh,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Fungal-Flesh,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Fungal-Flesh,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Spiked-Skin,1,Tough,Passive,0,Passive,Gain +2 Max HP.
Spiked-Skin,3,Harden,Reaction,0,1 Stamina,Gain Resistance to Physical Damage for 1 hit.
Spiked-Skin,5,Regrow,Action,0,1/Day,Regain 50% HP over 1 minute.
Soft-Moss,1,Solar-Charge,Passive,0,Passive,Regain 1 Stamina per hour in sunlight.
Soft-Moss,3,Camo,Action,0,1 Focus,Change color. Invisible while stationary.
Soft-Moss,5,Beam,Action,0,1/Day,Fire Laser. Radiant Damage line.
Cuticle-Layer,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Cuticle-Layer,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Cuticle-Layer,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Hydraulic-Vines,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Hydraulic-Vines,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Hydraulic-Vines,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Reed-Structure,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Reed-Structure,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Reed-Structure,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Cork-Skin,1,Tough,Passive,0,Passive,Gain +2 Max HP.
Cork-Skin,3,Harden,Reaction,0,1 Stamina,Gain Resistance to Physical Damage for 1 hit.
Cork-Skin,5,Regrow,Action,0,1/Day,Regain 50% HP over 1 minute.
Rapid-Cell,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Rapid-Cell,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Rapid-Cell,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Poison-Sap,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Poison-Sap,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Poison-Sap,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Goodberry,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Goodberry,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Goodberry,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Pollen-Cloud,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Pollen-Cloud,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Pollen-Cloud,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Mandrake-Root,1,Anchor,Passive,0,Passive,Advantage vs Knockback/Prone.
Mandrake-Root,3,Entangle,Action,0,2 Stamina,Ranged Grapple (30ft). Target Restrained.
Mandrake-Root,5,Earthquake,Action,0,1/Day,Knock all ground enemies Prone in 15ft radius.
Root-Burst,1,Anchor,Passive,0,Passive,Advantage vs Knockback/Prone.
Root-Burst,3,Entangle,Action,0,2 Stamina,Ranged Grapple (30ft). Target Restrained.
Root-Burst,5,Earthquake,Action,0,1/Day,Knock all ground enemies Prone in 15ft radius.
Fungal-Spore,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Fungal-Spore,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Fungal-Spore,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Pollen-Link,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Pollen-Link,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Pollen-Link,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
