Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Spade Claws,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Rib-Wings,1,Cold-Blooded,Passive,0,Passive,Reduced food/water requirement.
Rib-Wings,3,Surge,Action,0,1 Stamina,Burst of speed/strength.
Rib-Wings,5,Apex,Action,0,1/Day,Auto-Crit on next attack.
Change-Skin,1,Cold-Blooded,Passive,0,Passive,Reduced food/water requirement.
Change-Skin,3,Surge,Action,0,1 Stamina,Burst of speed/strength.
Change-Skin,5,Apex,Action,0,1/Day,Auto-Crit on next attack.
Bipedal Hips,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Bipedal Hips,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Bipedal Hips,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Paddle Tail,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Paddle Tail,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Paddle Tail,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Coiled Muscles,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Coiled Muscles,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Coiled Muscles,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Grip Talons,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Grip Talons,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Grip Talons,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Soft Scales,1,Plating,Passive,0,Passive,+1 Natural Armor.
Soft Scales,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Soft Scales,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
Hooked Toes,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Hooked Toes,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Hooked Toes,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Webbed Fringe,1,Cold-Blooded,Passive,0,Passive,Reduced food/water requirement.
Webbed Fringe,3,Surge,Action,0,1 Stamina,Burst of speed/strength.
Webbed Fringe,5,Apex,Action,0,1/Day,Auto-Crit on next attack.
Desert Scales,1,Plating,Passive,0,Passive,+1 Natural Armor.
Desert Scales,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Desert Scales,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
Osteoderms,1,Plating,Passive,0,Passive,+1 Natural Armor.
Osteoderms,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Osteoderms,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
Stem-Cell Biology,1,Cold-Blooded,Passive,0,Passive,Reduced food/water requirement.
Stem-Cell Biology,3,Surge,Action,0,1 Stamina,Burst of speed/strength.
Stem-Cell Biology,5,Apex,Action,0,1/Day,Auto-Crit on next attack.
Color-Shift Scales,1,Plating,Passive,0,Passive,+1 Natural Armor.
Color-Shift Scales,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Color-Shift Scales,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
Dorsal Spines,1,Plating,Passive,0,Passive,+1 Natural Armor.
Dorsal Spines,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Dorsal Spines,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
Solar Scales,1,Plating,Passive,0,Passive,+1 Natural Armor.
Solar Scales,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Solar Scales,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
Mucus Coat,1,Cold-Blooded,Passive,0,Passive,Reduced food/water requirement.
Mucus Coat,3,Surge,Action,0,1 Stamina,Burst of speed/strength.
Mucus Coat,5,Apex,Action,0,1/Day,Auto-Crit on next attack.
Layered Scutes,1,Plating,Passive,0,Passive,+1 Natural Armor.
Layered Scutes,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Layered Scutes,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
Elastic Hide,1,Plating,Passive,0,Passive,+1 Natural Armor.
Elastic Hide,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Elastic Hide,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
Prehensile Tail,1,Balance,Passive,0,Passive,Advantage on Acrobatics/Balance.
Prehensile Tail,3,Tail-Whip,Reaction,0,1 Stamina,Trip enemy moving past you.
Prehensile Tail,5,Decoy-Drop,Reaction,0,1/Day,Drop tail to negate a Killing Blow.
Tail Rattle,1,Balance,Passive,0,Passive,Advantage on Acrobatics/Balance.
Tail Rattle,3,Tail-Whip,Reaction,0,1 Stamina,Trip enemy moving past you.
Tail Rattle,5,Decoy-Drop,Reaction,0,1/Day,Drop tail to negate a Killing Blow.
Neck Frill,1,Plating,Passive,0,Passive,+1 Natural Armor.
Neck Frill,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Neck Frill,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
Poison Sacs,1,Cold-Blooded,Passive,0,Passive,Reduced food/water requirement.
Poison Sacs,3,Surge,Action,0,1 Stamina,Burst of speed/strength.
Poison Sacs,5,Apex,Action,0,1/Day,Auto-Crit on next attack.
Autotomy Tail,1,Balance,Passive,0,Passive,Advantage on Acrobatics/Balance.
Autotomy Tail,3,Tail-Whip,Reaction,0,1 Stamina,Trip enemy moving past you.
Autotomy Tail,5,Decoy-Drop,Reaction,0,1/Day,Drop tail to negate a Killing Blow.
Throat Gland,1,Scent-Taste,Passive,0,Passive,Track blood scent from 1 mile away.
Throat Gland,3,Snap-Bite,Action,0,1 Stamina,Melee Strike. Auto-Grapple on hit.
Throat Gland,5,Neurotoxin,Action,0,1/Day,Bite deals Paralysis or Massive Poison Dmg.
Constrictor Coils,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Constrictor Coils,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Constrictor Coils,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Seismic Scales,1,Plating,Passive,0,Passive,+1 Natural Armor.
Seismic Scales,3,Adaptive-Camo,Action,0,1 Focus,Become Invisible while stationary.
Seismic Scales,5,Solar-Beam,Action,0,1/Day,Discharge stored solar energy (Line Fire Dmg).
