Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Fan Tail,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Fan Tail,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Fan Tail,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Counter-Tail,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Counter-Tail,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Counter-Tail,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Hooked Bill,1,Tool-Use,Passive,0,Passive,Use Beak for precision tasks (Picking locks/knots).
Hooked Bill,3,Snap,Action,0,1 Stamina,Melee Bite. Ignore 2 points of Armor Rating.
Hooked Bill,5,Shatter,Action,0,1/Day,Destroy a [Brittle] object or weapon instantly.
Nut-Cracker Bill,1,Tool-Use,Passive,0,Passive,Use Beak for precision tasks (Picking locks/knots).
Nut-Cracker Bill,3,Snap,Action,0,1 Stamina,Melee Bite. Ignore 2 points of Armor Rating.
Nut-Cracker Bill,5,Shatter,Action,0,1/Day,Destroy a [Brittle] object or weapon instantly.
Throat Sac,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Throat Sac,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Throat Sac,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Boom-Sack,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Boom-Sack,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Boom-Sack,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
